prompt_id,room_type,style_category,complexity,user_prompt
1,living_room,minimalist,simple,"I want a clean, minimalist living room with neutral colors"
2,living_room,modern,simple,"Create a modern living room setup for my 4-room HDB"
3,living_room,minimalist,simple,"Design a simple living area that doesn't feel cluttered"
4,living_room,modern,simple,"Suggest furniture for a contemporary white-themed living space"
5,living_room,family,medium,"Need a family-friendly living room where kids can play safely"
6,living_room,family,medium,"Design a cozy space for movie nights with the family"
7,living_room,family,complex,"I want seating for 6 people but the room is quite small"
8,living_room,family,medium,"Create a living room that works for both entertaining and relaxing"
9,living_room,scandinavian,medium,"Give me a Scandinavian-inspired living room with light wood"
10,living_room,industrial,medium,"I love industrial style with exposed elements"
11,living_room,japanese,medium,"Can you do a Muji-style Japanese minimalist living room?"
12,living_room,japandi,medium,"Design a warm, cozy Japandi living space"
13,living_room,modern,medium,"I want a living room with a feature wall and modern furniture"
14,living_room,budget,simple,"Design an affordable living room using IKEA furniture only"
15,living_room,constraint,complex,"Create a layout that fits around my existing 3-seater sofa and TV console"
16,bedroom,master,medium,"I need a relaxing master bedroom with storage for clothes"
17,bedroom,master,medium,"Design a hotel-style bedroom that feels luxurious"
18,bedroom,master,complex,"Create a master bedroom with a small work desk area"
19,bedroom,master,simple,"I want a peaceful sleeping space with warm lighting options"
20,bedroom,small,complex,"My bedroom is tiny, help me maximize space"
21,bedroom,small,complex,"Design a functional bedroom for a 2-room BTO"
22,bedroom,small,medium,"I need storage solutions for a small bedroom"
23,bedroom,small,complex,"Create a bedroom that doesn't feel cramped despite being small"
24,bedroom,kids,medium,"Design a bedroom for my 10-year-old with study space"
25,bedroom,kids,complex,"I need furniture for a shared kids' room for 2 children"
26,bedroom,teen,medium,"Create a teen bedroom with gaming and study areas"
27,bedroom,minimalist,simple,"I want a zen-like bedroom with minimal furniture"
28,bedroom,scandinavian,simple,"Design a Scandi bedroom with natural materials"
29,bedroom,constraint,complex,"I need a bedroom setup for elderly parents with mobility aids"
30,bedroom,modern,medium,"Create a modern bedroom with built-in wardrobe solutions"
31,dining,small,medium,"I need a dining setup for 4 people in a small space"
32,dining,extendable,medium,"Design a dining area that can extend for guests"
33,dining,compact,complex,"Create a compact dining solution for my open kitchen"
34,dining,multi_function,complex,"I want a dining table that doubles as a workspace"
35,dining,constraint,complex,"Suggest a dining setup that fits in a narrow area"
36,dining,family,medium,"Design a dining area for family meals with young children"
37,dining,modern,simple,"I want a sleek modern dining set for 4"
38,dining,budget,simple,"Affordable dining furniture for a new BTO"
39,study,home_office,medium,"I need a productive home office setup"
40,study,hybrid,complex,"Design a work-from-home corner in my living room"
41,study,storage,medium,"Create a study area with good storage for books"
42,study,ergonomic,medium,"I want a dual monitor setup with ergonomic furniture"
43,study,small,complex,"Suggest furniture for a small study room in my BTO"
44,study,minimalist,simple,"Design a distraction-free study space"
45,study,modern,medium,"I need a modern home office with cable management"
46,multi_room,open_plan,complex,"Design a living-dining combo for my open-plan HDB"
47,multi_room,hybrid,complex,"I need furniture that works for both work and relaxation"
48,multi_room,guest_office,complex,"Create a guest room that doubles as a home office"
49,multi_room,studio,complex,"Suggest a flexible layout for a studio apartment"
50,multi_room,open_plan,complex,"Design furniture arrangement for open concept 4-room flat"
51,living_room,budget,medium,"I'm on a tight budget, suggest affordable furniture"
52,living_room,pet_friendly,medium,"Create a pet-friendly living room layout"
53,living_room,constraint,complex,"Design around my existing TV console and dark wood coffee table"
54,bedroom,storage,complex,"I need maximum storage in my master bedroom for 2 people"
55,living_room,singapore,medium,"Design for a typical 3-room resale HDB"
56,living_room,bto,simple,"I just got my BTO keys, help me furnish the living room"
57,living_room,tropical,medium,"I want an aircon-friendly furniture arrangement"
58,living_room,natural_light,medium,"Design for a corner unit with lots of natural light"
59,dining,singapore,medium,"Create a dining setup typical for Singapore families"
60,bedroom,humid_climate,medium,"Design a bedroom layout that handles Singapore's humidity"
61,living_room,entertaining,medium,"I love hosting friends, design for entertaining"
62,living_room,cozy,simple,"Make my living room feel cozy and inviting"
63,bedroom,romantic,simple,"I want a romantic master bedroom atmosphere"
64,study,creative,medium,"Design a creative workspace for my art and crafts"
65,living_room,tech,medium,"I'm a gamer, need furniture around my gaming setup"
66,bedroom,reading,medium,"Create a bedroom with a comfortable reading nook"
67,dining,formal,simple,"I want a more formal dining area"
68,living_room,casual,simple,"Design a casual, relaxed living space"
69,bedroom,walk_in,complex,"I need a bedroom with walk-in wardrobe if possible"
70,study,student,simple,"Design a study area for a university student"
71,living_room,eclectic,medium,"I like mixing styles, create an eclectic living room"
72,bedroom,couple,medium,"Design a master bedroom for a newlywed couple"
73,living_room,movie,medium,"I want a home theater setup in my living room"
74,dining,breakfast,simple,"Create a casual breakfast dining area"
75,multi_room,rental,medium,"Furnish my rental flat with flexible furniture"
76,living_room,plant_lover,medium,"I have lots of plants, design around them"
77,bedroom,wardrobe,complex,"I need massive wardrobe space for fashion collection"
78,study,dual_desk,complex,"Design a study with 2 desks for couple working from home"
79,living_room,luxury,medium,"I want a luxurious high-end living room feel"
80,bedroom,compact,complex,"Design the most space-efficient bedroom possible"
81,living_room,neutral,simple,"Give me a neutral palette living room design"
82,dining,round_table,medium,"I prefer round dining tables for better conversation"
83,bedroom,dark,simple,"I want a dark, moody bedroom design"
84,living_room,bright,simple,"Create a bright and airy living space"
85,study,standing_desk,medium,"I need a standing desk setup for health"
86,bedroom,platform_bed,simple,"Design around a low platform bed concept"
87,living_room,sectional,medium,"I want a large sectional sofa as the centerpiece"
88,dining,bench_seating,medium,"Use bench seating instead of chairs for dining"
89,multi_room,elderly,complex,"Design for elderly parents with accessibility needs"
90,living_room,small_tv,simple,"I have a small TV, arrange furniture accordingly"
91,bedroom,no_bed_frame,simple,"I prefer sleeping on a mattress without bed frame"
92,study,library,medium,"Create a home library feel in my study"
93,living_room,conversation,medium,"Arrange furniture to encourage conversation"
94,bedroom,dressing,medium,"I need a proper dressing area in my bedroom"
95,dining,kitchen_island,complex,"Incorporate a kitchen island as dining area"
96,living_room,view,medium,"Arrange furniture to maximize my window view"
97,bedroom,tv_bedroom,medium,"I want a TV in my bedroom with proper viewing angle"
98,study,music,medium,"Design a study that doubles as music practice room"
99,living_room,statement,medium,"I want one statement furniture piece as focal point"
100,multi_room,1_bedroom,complex,"Furnish my entire 1-bedroom HDB efficiently"
101,living_room,bohemian,medium,"Give me a boho-chic living room with textures"
102,bedroom,guest,simple,"Design a simple guest bedroom that's welcoming"
103,dining,space_saving,complex,"I need a dining solution that saves maximum space"
104,study,podcasting,medium,"Set up a home office for podcasting and video calls"
105,living_room,monochrome,simple,"Create an all-white living room with black accents"
106,bedroom,twin_beds,medium,"Design a bedroom with two single beds"
107,living_room,l_shaped,medium,"My living room is L-shaped, help me arrange furniture"
108,dining,bar_style,medium,"I want a bar-style dining setup"
109,bedroom,loft_style,medium,"Create a loft-style industrial bedroom"
110,study,corner_desk,simple,"I need a corner desk setup to save space"
111,living_room,kids_play,complex,"Design a living room with designated kids play area"
112,bedroom,feng_shui,medium,"Arrange my bedroom furniture according to feng shui"
113,dining,window_view,simple,"Position dining table to enjoy the window view"
114,living_room,wall_mounted,medium,"Use wall-mounted furniture to free up floor space"
115,bedroom,ottoman_storage,medium,"Include ottoman or storage bench in bedroom"
116,study,craft_room,medium,"Design a craft and hobby room with lots of storage"
117,living_room,coastal,medium,"I want a coastal beach-inspired living room"
118,bedroom,baby_nursery,medium,"Create a nursery room for a newborn"
119,dining,foldable,complex,"Suggest foldable dining furniture for tiny space"
120,multi_room,2_room,complex,"Help me furnish my entire 2-room BTO"
121,living_room,art_gallery,medium,"Display my art collection in the living room"
122,bedroom,murphy_bed,complex,"Can I incorporate a murphy bed to save space?"
123,study,photo_studio,medium,"Design a small home photography studio"
124,living_room,fireplace,medium,"Arrange furniture around a fake fireplace feature"
125,bedroom,skylight,simple,"I have a skylight, design around natural light"
126,dining,marble_table,simple,"I want a marble dining table as centerpiece"
127,living_room,low_seating,medium,"Create a low-seating Japanese style living room"
128,bedroom,bunk_beds,medium,"Use bunk beds for kids to maximize space"
129,study,gaming_setup,medium,"Design the ultimate gaming room setup"
130,living_room,mirror,medium,"Use mirrors to make my small living room look bigger"
131,bedroom,walk_in_robe,complex,"Design a bedroom with proper walk-in wardrobe"
132,dining,bistro,simple,"Create a cute bistro-style dining nook"
133,living_room,projector,medium,"I have a projector instead of TV, help arrange"
134,bedroom,ensuite,medium,"Design bedroom layout with ensuite bathroom"
135,study,sewing,medium,"I need a sewing and tailoring workspace"
136,multi_room,studio_efficiency,complex,"Maximize every inch of my studio apartment"
137,living_room,symmetrical,simple,"I prefer symmetrical furniture arrangement"
138,bedroom,makeup_vanity,medium,"Include a proper makeup vanity in bedroom"
139,dining,high_chair,medium,"Dining setup that accommodates a baby high chair"
140,living_room,bay_window,medium,"Design around my beautiful bay window"
141,bedroom,ceiling_fan,simple,"Arrange furniture considering ceiling fan placement"
142,study,dual_monitor,medium,"Optimize desk setup for dual monitor work"
143,living_room,modular,medium,"Use modular furniture for flexibility"
144,bedroom,blackout,simple,"Create a dark bedroom good for sleeping"
145,dining,scandinavian,simple,"Scandinavian dining area with light wood"
146,multi_room,3_room,complex,"Furnish my 3-room resale flat completely"
147,living_room,column,complex,"Work around a structural column in my living room"
148,bedroom,small_balcony,medium,"Extend bedroom into small balcony space"
149,study,architect,medium,"Design workspace for architectural drafting"
150,living_room,piano,complex,"Arrange living room to include my piano"
151,bedroom,hospital_bed,complex,"Design bedroom for recovering patient with hospital bed"
152,dining,wine_storage,medium,"Include wine storage in dining area"
153,living_room,fish_tank,medium,"Design around my large aquarium"
154,bedroom,closet_system,complex,"Install a complete closet organization system"
155,study,teacher,medium,"Home office for online teaching and tutoring"
156,living_room,recliner,simple,"Include reclining chairs in living room"
157,bedroom,meditation,simple,"Create a peaceful meditation corner in bedroom"
158,dining,farmhouse,medium,"Rustic farmhouse style dining area"
159,multi_room,elderly_couple,complex,"Design for elderly couple with mobility issues"
160,living_room,console_gaming,medium,"Living room centered around gaming consoles"
161,bedroom,office_combo,complex,"Bedroom that functions as home office too"
162,study,art_studio,medium,"Convert study into an art painting studio"
163,living_room,tropical,medium,"Tropical resort style living room"
164,bedroom,toddler,medium,"Toddler-proof bedroom design with safety"
165,dining,outdoor_connection,simple,"Dining area that connects to balcony"
166,living_room,book_lover,medium,"Living room with extensive book storage"
167,bedroom,attic,complex,"Design for a bedroom in attic space"
168,study,writer,simple,"Quiet writing nook for author"
169,multi_room,5_room,complex,"Complete furnishing for 5-room executive flat"
170,living_room,vintage,medium,"Vintage retro style living room"
171,bedroom,teenage_girl,medium,"Stylish bedroom for teenage girl"
172,dining,glass_table,simple,"Modern dining with glass table"
173,living_room,open_shelving,medium,"Living room with open shelving displays"
174,bedroom,teenage_boy,medium,"Cool bedroom for teenage boy"
175,study,consultant,medium,"Professional home office for consultations"
176,living_room,pet_corner,medium,"Dedicated pet area in living room"
177,bedroom,storage_bed,medium,"Use storage bed to maximize space"
178,dining,built_in,complex,"Built-in dining bench seating"
179,multi_room,newlywed,complex,"Furnish new home for young couple"
180,living_room,moroccan,medium,"Moroccan inspired living room"
181,bedroom,minimalist_closet,simple,"Capsule wardrobe minimalist bedroom"
182,study,laboratory,complex,"Small home lab for experiments"
183,living_room,carpet,medium,"Design with area rugs and carpets"
184,bedroom,four_poster,medium,"Traditional four-poster bed design"
185,dining,convertible,complex,"Dining table that converts to work desk"
186,living_room,track_lighting,simple,"Modern living room with track lighting"
187,bedroom,twin_nursery,complex,"Nursery for twins with two cribs"
188,study,accountant,simple,"Home office for accounting work"
189,multi_room,multigenerational,complex,"Design for three generations living together"
190,living_room,rustic,medium,"Rustic cabin style living room"
191,bedroom,hotel_luxury,medium,"5-star hotel inspired master bedroom"
192,dining,peninsula,medium,"Kitchen peninsula as dining counter"
193,living_room,mid_century,medium,"Mid-century modern living room"
194,bedroom,college_dorm,simple,"Efficient bedroom like college dorm"
195,study,lawyer,medium,"Professional law office at home"
196,living_room,conversation_pit,complex,"Sunken conversation pit living room"
197,bedroom,soundproof,medium,"Bedroom with soundproofing for musician"
198,dining,pub_style,medium,"British pub style dining area"
199,multi_room,wheelchair,complex,"Fully wheelchair accessible flat design"
200,living_room,gallery_wall,simple,"Living room with photo gallery wall"
201,bedroom,canopy_bed,medium,"Romantic canopy bed bedroom"
202,study,trader,medium,"Home office for stock trading with multiple screens"
203,living_room,floating,medium,"Floating furniture for modern look"
204,bedroom,princess,medium,"Princess themed bedroom for young girl"
205,dining,industrial_chic,medium,"Industrial chic dining space"
206,living_room,corner_sofa,simple,"Design around L-shaped corner sofa"
207,bedroom,superhero,simple,"Superhero themed room for boy"
208,study,fashion,medium,"Fashion designer home studio"
209,multi_room,airbnb,complex,"Furnish flat for Airbnb rental"
210,living_room,pastel,simple,"Soft pastel colored living room"
211,bedroom,nautical,medium,"Nautical themed bedroom"
212,dining,banquette,medium,"Cozy banquette dining seating"
213,living_room,statement_wall,medium,"Bold statement wall in living room"
214,bedroom,storage_headboard,medium,"Bed with storage headboard"
215,study,graphic_designer,medium,"Creative studio for graphic design"
216,living_room,open_kitchen,complex,"Living room connected to open kitchen"
217,bedroom,under_bed,simple,"Maximize under-bed storage"
218,dining,lazy_susan,simple,"Round dining table with lazy susan"
219,multi_room,student,complex,"Affordable setup for student rental"
220,living_room,mediterranean,medium,"Mediterranean style living space"
221,bedroom,trundle_bed,medium,"Space-saving trundle bed design"
222,study,jewelry_making,medium,"Workspace for jewelry crafting"
223,living_room,earth_tones,simple,"Warm earth tones living room"
224,bedroom,accent_wall,simple,"Bedroom with bold accent wall"
225,dining,breakfast_nook,medium,"Cozy breakfast nook design"
226,living_room,biophilic,medium,"Living room with lots of greenery"
227,bedroom,daybed,medium,"Bedroom with daybed for guests"
228,study,calligraphy,simple,"Desk setup for calligraphy practice"
229,multi_room,bachelor,complex,"Bachelor pad modern design"
230,living_room,wallpaper,medium,"Feature wallpaper in living room"
231,bedroom,upholstered_bed,simple,"Luxury upholstered bed frame"
232,dining,mix_match,medium,"Mix and match dining chairs"
233,living_room,fireplace_tv,complex,"TV above electric fireplace setup"
234,bedroom,under_stairs,complex,"Bedroom under staircase space"
235,study,woodworking,medium,"Workshop for woodworking hobby"
236,living_room,tv_wall,medium,"Full TV wall unit design"
237,bedroom,crib_beside,medium,"Master bedroom with baby crib beside bed"
238,dining,drop_leaf,simple,"Drop leaf table for flexibility"
239,multi_room,divorced_parent,complex,"Kid-friendly every-other-weekend setup"
240,living_room,contemporary,simple,"Clean contemporary living room"
241,bedroom,linen,simple,"Natural linen textures bedroom"
242,study,influencer,medium,"Content creator home studio"
243,living_room,built_in_seating,complex,"Built-in window seating in living room"
244,bedroom,sloped_ceiling,complex,"Bedroom with sloped ceiling challenge"
245,dining,mix_materials,medium,"Dining with mixed wood and metal"
246,living_room,toy_storage,medium,"Living room with hidden toy storage"
247,bedroom,desk_beside,medium,"Bedroom with small desk by window"
248,study,developer,medium,"Software developer home office"
249,multi_room,minimalist_entire,complex,"Extreme minimalist whole flat"
250,living_room,warm_lighting,simple,"Living room with warm ambient lighting"
251,bedroom,headboard_wall,medium,"Statement headboard wall design"
252,dining,counter_height,medium,"Counter height dining setup"
253,living_room,curtains,simple,"Heavy curtains for privacy and style"
254,bedroom,reading_lights,simple,"Bedroom with good reading lights"
255,study,animator,medium,"Home studio for animation work"
256,living_room,ottoman_coffee,simple,"Ottoman as coffee table"
257,bedroom,murphy_desk,complex,"Murphy desk that folds into wall"
258,dining,picnic_style,simple,"Casual picnic bench style dining"
259,multi_room,retirement,complex,"Comfortable retirement home setup"
260,living_room,wallmount_tv,simple,"Wall mounted TV with hidden cables"
261,bedroom,jewel_tones,medium,"Rich jewel tone bedroom colors"
262,study,photographer,medium,"Photography editing workspace"
263,living_room,alcove,medium,"Make use of living room alcove"
264,bedroom,his_hers,complex,"His and hers separate closet areas"
265,dining,pendant_lights,simple,"Dining area with statement pendant lights"
266,living_room,cube_storage,medium,"Modular cube storage system"
267,bedroom,teen_study,complex,"Teen bedroom with serious study area"
268,study,music_production,complex,"Home recording studio setup"
269,multi_room,artistic,complex,"Artistic creative flat for designer"
270,living_room,formal,medium,"Formal traditional living room"
271,bedroom,velvet,simple,"Luxurious velvet textures bedroom"
272,dining,cafe_style,simple,"Cute cafe style dining corner"
273,living_room,hallway,complex,"Long narrow living room like hallway"
274,bedroom,bedside_tables,simple,"Matching bedside tables and lamps"
275,study,therapist,medium,"Home office for therapy sessions"
276,living_room,display_cabinet,medium,"Display cabinet for collectibles"
277,bedroom,mezzanine,complex,"Bedroom with mezzanine level"
278,dining,booth_style,medium,"Restaurant booth style dining"
279,multi_room,cat_friendly,complex,"Cat-friendly furniture throughout"
280,living_room,bean_bags,simple,"Casual living room with bean bags"
281,bedroom,small_window,simple,"Bedroom with limited natural light"
282,study,coach,medium,"Home office for life coaching"
283,living_room,scandinavian_cozy,medium,"Hygge cozy Scandinavian living room"
284,bedroom,storage_ottoman,simple,"Bedroom ottoman for extra storage"
285,dining,sideboard,medium,"Dining room with sideboard storage"
286,living_room,narrow,complex,"Very narrow rectangular living room"
287,bedroom,separate_sitting,complex,"Master bedroom with sitting area"
288,study,illustrator,medium,"Illustration and drawing studio"
289,multi_room,smart_home,complex,"Smart home integrated furniture"
290,living_room,nature_inspired,medium,"Nature inspired organic living room"
291,bedroom,wall_bed,complex,"Wall bed system to save space"
292,dining,rustic_modern,medium,"Mix of rustic and modern dining"
293,living_room,kid_proof,medium,"Durable kid-proof living room furniture"
294,bedroom,split_level,complex,"Split level bedroom design"
295,study,architect_drafting,complex,"Professional drafting table setup"
296,living_room,no_sofa,simple,"Living room without traditional sofa"
297,bedroom,wardrobe_sliding,medium,"Sliding door wardrobe to save space"
298,dining,window_seat,medium,"Dining with window seat integration"
299,multi_room,tropical_resort,complex,"Entire flat as tropical resort"
300,living_room,maximalist,complex,"Bold maximalist living room design"
